Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
1101,台泥,14176693.0,474266488.0,33.4,33.75,33.25,33.3,0.15,7015.0
1102,亞泥,4571324.0,194711827.0,42.5,42.7,42.25,42.7,0.4,1868.0
1103,嘉泥,143222.0,2565513.0,17.95,18.0,17.8,18.0,0.0,185.0
1104,環泥,319132.0,9321814.0,29.35,29.4,29.05,29.3,0.1,311.0
1108,幸福,293300.0,4284364.0,14.6,14.65,14.6,14.6,0.0,124.0
1109,信大,121273.0,2236581.0,18.4,18.5,18.35,18.45,-0.05,114.0
1110,東泥,105235.0,2245528.0,21.35,21.5,21.2,21.4,0.05,70.0
1201,味全,323625.0,5841333.0,17.95,18.15,17.95,18.05,0.1,247.0
1203,味王,34289.0,1410005.0,41.35,41.35,40.9,41.3,0.0,67.0
1210,大成,865291.0,46162249.0,52.9,53.6,52.9,53.5,0.4,699.0
1215,卜蜂,136200.0,13665457.0,100.5,101.0,100.0,100.0,-0.5,325.0
1216,統一,3857911.0,328676893.0,85.0,85.4,84.6,85.4,0.4,2291.0
1218,泰山,844532.0,17464631.0,20.65,20.8,20.55,20.65,-0.25,540.0
1225,福懋油,113482.0,7656069.0,68.8,68.8,66.9,67.0,-2.1,126.0
1227,佳格,905671.0,34486415.0,37.9,38.3,37.85,37.85,0.2,759.0
1229,聯華,714517.0,41198542.0,57.4,58.0,57.4,57.6,0.2,999.0
1231,聯華食,508962.0,67869153.0,130.5,135.0,130.0,134.0,4.0,1254.0
1232,大統益,31102.0,4532426.0,145.5,146.0,145.0,145.5,-0.5,134.0
1234,黑松,65418.0,2704424.0,41.35,41.45,41.3,41.35,0.05,86.0
1235,興泰,61983.0,6366210.0,105.5,109.0,99.9,106.0,-5.0,143.0
1256,鮮活果汁-KY,42121.0,5883540.0,143.5,143.5,137.5,138.5,-2.0,348.0
1301,台塑,15958483.0,640166106.0,40.75,40.75,39.9,40.0,-0.7,10348.0
1303,南亞,13140348.0,474840071.0,36.5,36.5,35.95,36.0,-0.7,6119.0
1304,台聚,854493.0,10398583.0,12.3,12.3,12.1,12.15,-0.1,777.0
1305,華夏,873468.0,11701356.0,13.6,13.6,13.3,13.35,-0.25,507.0
1307,三芳,1758525.0,68155232.0,39.05,39.15,38.55,38.8,-0.4,886.0
1308,亞聚,948227.0,14721111.0,15.7,15.7,15.4,15.45,-0.25,963.0
1309,台達化,945080.0,14972483.0,16.2,16.2,15.65,15.85,-0.25,759.0
1310,台苯,733072.0,7886380.0,10.85,10.85,10.7,10.75,-0.05,768.0
1312,國喬,2274188.0,25223118.0,11.2,11.2,11.05,11.05,-0.1,959.0
1313,聯成,1235228.0,12871412.0,10.5,10.5,10.35,10.4,-0.1,884.0
1314,中石化,8775659.0,70091272.0,8.02,8.03,7.95,7.98,-0.05,3196.0
1315,達新,4492.0,315471.0,70.2,70.2,70.2,70.2,-0.4,75.0
1319,東陽,2312368.0,255903384.0,110.0,112.0,109.0,110.5,0.5,2189.0
1321,大洋,117597.0,3893847.0,33.25,33.25,33.0,33.0,-0.25,97.0
1326,台化,11142219.0,362759593.0,32.95,33.05,32.35,32.35,-0.8,7312.0
1342,八貫,356692.0,37978602.0,103.5,108.0,103.5,106.0,2.0,686.0
1402,遠東新,9079458.0,304252519.0,33.85,33.85,33.3,33.55,-0.2,3344.0
1409,新纖,1266219.0,20148383.0,15.95,16.0,15.8,15.9,-0.05,461.0
1419,新紡,17394.0,792282.0,45.75,45.8,45.45,45.5,-0.15,23.0
1434,福懋,684000.0,13574261.0,19.95,20.0,19.75,19.85,-0.1,561.0
1435,中福,9.0,360.0,0.0,0.0,0.0,0.0,0.0,9.0
1436,華友聯,195709.0,23795337.0,123.5,123.5,120.5,120.5,-2.0,295.0
1437,勤益控,107874.0,3717716.0,34.5,34.5,34.4,34.4,-0.05,64.0
1440,南紡,608167.0,9213161.0,15.3,15.3,15.05,15.1,-0.2,369.0
1442,名軒,2701020.0,217998385.0,80.9,82.4,77.5,81.1,-2.4,1940.0
1444,力麗,1045499.0,9735704.0,9.37,9.4,9.25,9.25,-0.15,631.0
1446,宏和,2624007.0,125224734.0,47.65,48.45,47.65,47.65,-5.25,1371.0
1447,力鵬,3245016.0,24755008.0,7.71,7.71,7.58,7.58,-0.17,1863.0
1455,集盛,1566502.0,15351530.0,9.95,9.95,9.72,9.73,-0.21,1063.0
1457,宜進,119744.0,2395622.0,20.1,20.1,19.85,19.9,-0.2,87.0
1476,儒鴻,345369.0,181363634.0,526.0,530.0,522.0,524.0,-7.0,605.0
1477,聚陽,994659.0,312119402.0,311.0,315.5,310.5,315.5,6.0,2084.0
1503,士電,884355.0,174205364.0,198.5,199.5,195.5,196.5,-2.0,1307.0
1504,東元,4461818.0,231580895.0,51.6,52.3,51.5,51.8,0.0,2676.0
1513,中興電,2788560.0,438454827.0,157.5,159.0,156.0,157.0,-1.0,4506.0
1514,亞力,1857360.0,196175631.0,106.0,107.0,105.0,105.5,-1.5,1908.0
1515,力山,444028.0,13340094.0,30.35,30.35,29.9,30.0,-0.35,309.0
1519,華城,6388090.0,3460784347.0,556.0,560.0,535.0,536.0,-27.0,12387.0
1522,堤維西,1315148.0,82842559.0,63.2,63.3,62.7,62.9,0.1,1184.0
1532,勤美,851487.0,28364494.0,33.25,33.5,33.2,33.2,0.1,533.0
1535,中宇,77063.0,4846889.0,62.8,63.5,62.5,62.5,-0.5,300.0
