Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
3016,嘉晶,107407.0,5475736.0,51.2,51.7,50.6,51.0,-0.1,166.0
3017,奇鋐,7558764.0,5201131171.0,702.0,703.0,682.0,682.0,-26.0,13477.0
3019,亞光,19097656.0,2217516208.0,116.0,119.0,113.5,114.5,-2.0,14076.0
3022,威強電,373267.0,29956439.0,80.2,80.9,79.9,80.3,0.2,452.0
3023,信邦,412302.0,107324306.0,257.0,262.0,257.0,261.0,4.5,547.0
3026,禾伸堂,155132.0,13782372.0,89.0,89.1,88.6,89.0,0.0,225.0
3028,增你強,314809.0,9533853.0,30.25,30.6,30.15,30.2,-0.05,310.0
3029,零壹,34042148.0,5237154378.0,148.5,158.0,147.0,155.5,3.5,25223.0
3030,德律,1086192.0,132910349.0,124.0,124.0,121.0,123.5,0.0,988.0
3032,偉訓,7463580.0,675659196.0,90.7,92.2,89.0,91.0,1.1,5337.0
3033,威健,1090796.0,37905869.0,34.9,34.95,34.65,34.75,-0.1,706.0
3034,聯詠,1675863.0,823023872.0,490.0,496.0,488.5,488.5,1.0,2176.0
3035,智原,6823973.0,1602309208.0,236.5,241.5,230.5,231.5,-3.5,12730.0
3036,文曄,6021205.0,643028482.0,108.5,108.5,104.0,106.5,-4.5,4211.0
3037,欣興,6819107.0,1016307581.0,149.5,151.5,148.0,148.0,-0.5,5420.0
3042,晶技,828739.0,86979087.0,104.5,106.0,104.0,105.0,1.0,645.0
3044,健鼎,1374114.0,266071248.0,195.5,195.5,192.0,192.0,-1.0,1258.0
3045,台灣大,5763366.0,657346793.0,114.0,115.0,113.0,114.0,-0.5,2247.0
3047,訊舟,6826981.0,209471867.0,30.75,31.35,29.75,30.55,-1.2,3805.0
3048,益登,1127838.0,34562296.0,30.85,31.3,30.3,30.5,-0.35,816.0
3049,精金,1911616.0,19131249.0,9.96,10.1,9.96,10.0,0.01,797.0
3055,蔚華科,481652.0,31551162.0,66.2,66.9,64.8,65.1,-1.8,541.0
3056,富華新,5648295.0,202872272.0,36.1,36.65,35.15,35.3,-0.35,3450.0
3059,華晶科,595636.0,18489182.0,31.0,31.55,30.8,31.0,0.0,634.0
3062,建漢,3754385.0,120274156.0,32.05,32.6,31.7,31.9,-0.1,2453.0
3090,日電貿,4070743.0,289355690.0,71.7,72.5,70.4,70.4,-1.4,3146.0
3130,一零四,22347.0,4948299.0,220.5,223.0,220.5,222.0,1.5,98.0
3138,耀登,58801.0,6403207.0,110.5,110.5,108.0,108.0,-0.5,100.0
3189,景碩,11828513.0,1163293841.0,94.4,101.0,94.3,99.0,4.7,8737.0
3209,全科,2016274.0,71536990.0,35.75,35.9,35.25,35.4,-0.75,1578.0
3231,緯創,20056273.0,2333878895.0,118.0,118.5,115.5,116.5,-2.0,13732.0
3266,昇陽,67200.0,1300253.0,19.35,19.5,19.25,19.3,-0.1,41.0
3305,昇貿,721091.0,47953166.0,67.0,67.6,65.8,66.2,0.4,659.0
3312,弘憶股,722832.0,43022762.0,60.5,60.5,59.0,59.1,-0.9,625.0
3338,泰碩,823781.0,56338421.0,69.1,69.5,67.8,67.8,-1.2,818.0
3376,新日興,3362536.0,670391257.0,200.5,204.5,196.0,199.0,-4.0,3386.0
3380,明泰,1294312.0,46005393.0,35.45,35.8,35.15,35.5,0.3,1047.0
3406,玉晶光,665957.0,301821865.0,449.5,457.5,449.5,451.0,3.0,981.0
3413,京鼎,570896.0,181985691.0,318.5,322.5,316.0,316.0,-1.5,780.0
3416,融程電,295500.0,45757931.0,159.0,159.0,153.0,154.0,-5.0,1036.0
3443,創意,2761742.0,3490687715.0,1230.0,1285.0,1225.0,1270.0,45.0,4629.0
3450,聯鈞,16960283.0,4100276664.0,241.0,246.0,238.5,240.5,-0.5,12707.0
3454,晶睿,77961.0,9561148.0,123.0,124.5,121.0,123.0,-0.5,329.0
3481,群創,51849460.0,811955112.0,15.7,15.95,15.45,15.5,-0.15,10966.0
3501,維熹,253846.0,16065101.0,63.4,63.8,62.9,63.1,-0.4,347.0
3504,揚明光,75631.0,4212563.0,56.1,56.2,55.5,56.2,0.5,130.0
3515,華擎,379679.0,90214024.0,241.0,241.0,235.0,239.0,0.0,1655.0
3530,晶相光,333376.0,30941969.0,92.8,94.2,91.6,91.6,0.3,560.0
3532,台勝科,313177.0,35648824.0,115.5,116.0,113.0,113.0,-2.5,416.0
3533,嘉澤,1040343.0,1979706225.0,1925.0,1935.0,1885.0,1885.0,-50.0,2051.0
3545,敦泰,3731710.0,333044865.0,89.0,91.0,87.8,88.0,-0.1,3218.0
3557,嘉威,910134.0,72280943.0,79.2,80.3,78.4,79.9,0.5,686.0
3563,牧德,902377.0,388104691.0,436.5,438.0,424.5,429.0,-5.5,1074.0
3576,聯合再生,1874369.0,19723456.0,10.55,10.7,10.4,10.4,-0.15,848.0
3583,辛耘,3188297.0,1417467843.0,443.5,454.0,437.0,437.0,-2.0,3741.0
3592,瑞鼎,392084.0,150452665.0,377.5,385.5,377.5,383.5,4.5,691.0
3596,智易,866348.0,149465232.0,170.5,174.0,169.5,174.0,4.5,739.0
3605,宏致,1735041.0,93034845.0,54.2,54.9,52.8,53.1,-0.1,1375.0
3617,碩天,324863.0,113208835.0,354.0,354.0,346.0,346.0,-6.0,469.0
3622,洋華,1154697.0,74322148.0,64.2,65.4,63.8,63.8,-0.3,956.0
3653,健策,952587.0,1432946995.0,1525.0,1525.0,1480.0,1510.0,-15.0,1702.0
3661,世芯-KY,3686137.0,9875305440.0,2660.0,2730.0,2640.0,2645.0,-30.0,12243.0
3665,貿聯-KY,4864063.0,3303263303.0,693.0,703.0,663.0,682.0,-22.0,6184.0
3673,TPK-KY,758650.0,30848424.0,40.45,41.3,40.25,40.35,-0.1,591.0
3679,新至陞,100020.0,13404670.0,133.5,135.0,133.0,134.5,1.0,114.0
3694,海華,6375569.0,329425445.0,53.0,54.2,49.95,51.3,-2.4,4394.0
3701,大眾控,185743.0,7126895.0,38.1,39.0,38.1,38.15,0.1,173.0
3702,大聯大,2938247.0,207142613.0,70.6,71.2,70.0,70.3,-0.3,1872.0
